time_str,time_seconds,wban_id,name,state,knots,gust_knots,near_any_wind_reports,near_hurricane_or_tropical_storm
2007-09-08 06:03:00 UTC,1189231380,94037,BUFFALO (ASOS),SD,44,70,true,false
2007-09-14 17:10:00 UTC,1189789800,53862,PERRY FOLEY AP,FL,21,73,false,false
2007-09-26 22:00:00 UTC,1190844000,14771,SYRACUSE HANCOCK INTL AP,NY,30,92,false,false
2007-12-09 12:18:00 UTC,1197202680,93953,MUSKOGEE DAVIS FIELD,OK,79,84,false,false
2007-12-10 04:42:00 UTC,1197261720,13967,OKLAHOMA CITY WILL ROGERS WORLD AP,OK,12,78,false,false
2007-12-10 17:40:00 UTC,1197308400,93953,MUSKOGEE DAVIS FIELD,OK,59,123,false,false
2008-03-19 22:31:00 UTC,1205965860,13866,CHARLESTON YEAGER AP,WV,46,73,true,false
2008-03-28 04:07:00 UTC,1206677220,03935,CAPE GIRARDEAU MUNICIPAL AP,MO,33,69,true,false
2008-04-04 19:13:00 UTC,1207336380,03866,MERIDIAN NAAS,MS,51,75,true,false
2008-04-10 08:40:00 UTC,1207816800,03927,DALLAS FORT WORTH INTL AP,TX,46,65,true,false
2008-05-16 09:05:00 UTC,1210928700,12904,HARLINGEN RIO GRANDE VALLEY INTL AP,TX,59,75,true,false
2008-05-23 21:56:00 UTC,1211579760,23064,GARDEN CITY REGIONAL AP,KS,18,66,false,false
2008-05-23 22:04:00 UTC,1211580240,23064,GARDEN CITY REGIONAL AP,KS,36,71,true,false
2008-05-23 23:36:00 UTC,1211585760,23064,GARDEN CITY REGIONAL AP,KS,43,82,false,false
2008-05-24 05:30:00 UTC,1211607000,13986,HUTCHINSON MUNICIPAL AP,KS,36,73,true,false
2008-05-25 22:35:00 UTC,1211754900,94910,WATERLOO MUNICIPAL AP,IA,51,81,true,false
2008-05-26 03:00:00 UTC,1211770800,14933,DES MOINES INTL AP,IA,46,67,true,false
2008-05-29 23:12:00 UTC,1212102720,14937,IOWA CITY MUNICIPAL AP,IA,44,68,false,false
2008-05-30 01:05:00 UTC,1212109500,94978,TEKAMAH MUNICIPAL AP,NE,51,67,true,false
2008-06-03 02:05:00 UTC,1212458700,24024,PHILIP AIRPORT,SD,53,66,true,false
2008-06-05 06:09:00 UTC,1212646140,94949,HASTINGS MUNICIPAL AP,NE,57,66,true,false
2008-06-07 19:33:00 UTC,1212867180,14937,IOWA CITY MUNICIPAL AP,IA,38,73,false,false
2008-06-08 21:53:00 UTC,1212961980,13993,ST JOSEPH ROSECRANS MEMORIAL AP,MO,40,66,true,false
2008-06-08 23:42:00 UTC,1212968520,14937,IOWA CITY MUNICIPAL AP,IA,16,66,true,false
2008-06-10 00:03:00 UTC,1213056180,13869,ALBANY SW GEORGIA REGIONAL AP,GA,41,67,true,false
2008-06-12 21:05:00 UTC,1213304700,12842,TAMPA INTL AP,FL,13,102,false,false
2008-06-14 12:04:00 UTC,1213445040,04858,NEWARK HEATH AIRPORT,OH,14,65,false,false
2008-06-15 03:28:00 UTC,1213500480,12842,TAMPA INTL AP,FL,14,99,false,false
2008-06-18 04:59:00 UTC,1213765140,94949,HASTINGS MUNICIPAL AP,NE,26,66,true,false
2008-06-19 21:23:00 UTC,1213910580,23047,AMARILLO INTERNATIONAL AIRPORT,TX,59,70,true,false
2008-06-21 15:33:00 UTC,1214062380,12842,TAMPA INTL AP,FL,16,114,false,false
2008-06-22 20:43:00 UTC,1214167380,12842,TAMPA INTL AP,FL,9,101,false,false
2008-06-25 23:55:00 UTC,1214438100,12958,NEW ORLEANS ALVIN CALLENDER FIELD,LA,16,79,false,false
2008-06-28 01:46:00 UTC,1214617560,12819,LEESBURG MUNICIPAL AP,FL,30,78,false,false
2008-06-28 10:22:00 UTC,1214648520,13754,HAVELOCK CHERRY POINT MCAS,NC,41,74,false,false
2008-07-03 21:27:00 UTC,1215120420,93005,DURANGO LA PLATA COUNTY AP,CO,31,67,true,false
2008-07-04 01:00:00 UTC,1215133200,93026,DOUGLAS BISBEE INL AP,AZ,42,65,true,false
2008-07-08 01:36:00 UTC,1215480960,14914,FARGO HECTOR INTL AP,ND,21,70,false,false
2008-07-18 22:41:00 UTC,1216420860,23078,DEMING MUNICIPAL AP,NM,48,65,true,false
2008-07-22 23:24:00 UTC,1216769040,24028,SCOTTSBLUFF W B HEILIG FIELD AP,NE,45,69,true,false
2008-07-27 21:42:00 UTC,1217194920,24089,CASPER NATRONA COUNTY INTL AP,WY,41,70,false,false
2008-07-29 01:56:00 UTC,1217296560,23047,AMARILLO INTERNATIONAL AIRPORT,TX,49,90,true,false
2008-07-29 04:00:00 UTC,1217304000,23047,AMARILLO INTERNATIONAL AIRPORT,TX,60,88,false,false
2008-07-29 05:01:00 UTC,1217307660,23047,AMARILLO INTERNATIONAL AIRPORT,TX,47,84,false,false
2008-07-29 06:54:00 UTC,1217314440,23047,AMARILLO INTERNATIONAL AIRPORT,TX,55,70,false,false
2008-07-31 09:02:00 UTC,1217494920,14929,ABERDEEN REGIONAL AP,SD,43,69,true,false
2008-08-04 00:03:00 UTC,1217808180,24015,AKRON WASHINGTON COUNTY AP,CO,53,68,true,false
2008-08-08 14:15:00 UTC,1218204900,24130,BAKER CITY MUNICIPAL AP,OR,50,67,false,false
2008-08-14 05:39:00 UTC,1218692340,93990,HILL CITY MUNICIPAL AP,KS,48,72,true,false
2008-08-29 04:38:00 UTC,1219984680,23183,PHOENIX SKY HARBOR INTL AP,AZ,38,65,true,false
2008-09-01 22:48:00 UTC,1220309280,24028,SCOTTSBLUFF W B HEILIG FIELD AP,NE,44,70,true,false
2008-10-05 20:13:00 UTC,1223237580,23055,PINE SPRINGS GUADALUPE MOUNTAINS NP,TX,53,69,false,false
2008-10-11 23:22:00 UTC,1223767320,23052,RATON MUNICIPAL CREWS FIELD AP,NM,35,69,false,false
2008-10-13 00:44:00 UTC,1223858640,12838,MELBOURNE INTL AP,FL,34,75,false,false
2008-10-25 21:59:00 UTC,1224971940,13754,HAVELOCK CHERRY POINT MCAS,NC,16,114,false,false
2008-12-19 09:22:00 UTC,1229678520,14937,IOWA CITY MUNICIPAL AP,IA,45,82,false,false
2008-12-24 00:11:00 UTC,1230077460,03975,POPLAR BLUFF MUNICIPAL AP,MO,10,66,false,false
2008-12-27 10:31:00 UTC,1230373860,93909,OLATHE JOHNSON COUNTY INDUSTRIAL AP,KS,44,68,true,false
2008-12-28 05:42:00 UTC,1230442920,03940,JACKSON INTL AP,MS,13,73,false,false
2009-02-19 03:56:00 UTC,1235015760,13754,HAVELOCK CHERRY POINT MCAS,NC,23,68,false,false
2009-03-08 18:42:00 UTC,1236537720,13809,LAWRENCEVILLE VINCENNES INTL AP,IL,30,79,true,false
2009-03-24 01:42:00 UTC,1237858920,14972,SPENCER MUNICIPAL AP,IA,44,70,true,false
2009-04-01 22:52:00 UTC,1238626320,12833,CROSS CITY AP,FL,7,65,false,false
2009-06-02 19:38:00 UTC,1243971480,13781,WILMINGTON NEW CASTLE COUNTY AP,DE,45,66,true,false
2009-06-03 02:31:00 UTC,1243996260,13841,WILMINGTON AIRBORNE PARK,OH,25,69,false,false
2009-06-03 03:16:00 UTC,1243998960,13841,WILMINGTON AIRBORNE PARK,OH,28,66,false,false
2009-06-10 06:52:00 UTC,1244616720,53922,FAYETTEVILLE SPRINGDALE NW AR REGL AP,AR,26,99,false,false
2009-06-11 20:45:00 UTC,1244753100,03870,GREENVILLE SPARTANBURG AP,SC,38,66,true,false
2009-06-23 07:28:00 UTC,1245742080,24044,ALLIANCE MUNICIPAL AP,NE,36,70,true,false
2009-06-26 21:13:00 UTC,1246050780,24090,,,46,72,true,false
2009-06-26 22:52:00 UTC,1246056720,24015,AKRON WASHINGTON COUNTY AP,CO,48,67,true,false
2009-07-09 10:01:00 UTC,1247133660,94950,MITCHELL MUNICIPAL AP,SD,31,65,true,false
2009-07-28 05:08:00 UTC,1248757680,13957,SHREVEPORT REGIONAL AP,LA,31,108,false,false
2009-07-29 20:27:00 UTC,1248899220,54785,SOMERVILLE SOMERSET AP,NJ,26,75,true,false
2009-08-10 08:31:00 UTC,1249893060,24030,SIDNEY MUNICIPAL AP,NE,12,87,false,false
2009-08-10 16:20:00 UTC,1249921200,03919,SALINA MUNICIPAL AP,KS,50,69,true,false
2009-08-13 02:15:00 UTC,1250129700,24037,MILES CITY F WILEY FIELD,MT,45,66,true,false
2009-09-21 02:06:00 UTC,1253498760,24089,CASPER NATRONA COUNTY INTL AP,WY,42,67,false,false
2009-10-26 17:34:00 UTC,1256578440,12926,CORPUS CHRISTI NAS,TX,59,70,true,false
2009-10-26 20:18:00 UTC,1256588280,12835,FORT MYERS PAGE FIELD AP,FL,25,67,false,false
2009-11-12 23:14:00 UTC,1258067640,13769,OCEANA NAS,VA,48,65,false,false
2009-12-24 04:43:00 UTC,1261629780,12935,PALACIOS MUNICIPAL AP,TX,11,70,false,false
2010-01-20 22:03:00 UTC,1264024980,53915,NEW IBERIA ACADIANA REGIONAL AP,LA,36,73,false,false
2010-01-28 19:55:00 UTC,1264708500,03932,CLINTON SHERMAN AP,OK,29,74,false,false
2010-04-16 21:10:00 UTC,1271452200,14736,ALTOONA BLAIR COUNTY AP,PA,27,69,true,false
2010-05-10 04:42:00 UTC,1273466520,13957,SHREVEPORT REGIONAL AP,LA,29,68,false,false
2010-05-18 10:19:00 UTC,1274177940,12926,CORPUS CHRISTI NAS,TX,32,110,false,false
2010-05-24 02:38:00 UTC,1274668680,03028,SPRINGFIELD COMANCHE NATIONAL GRASSLAND,CO,50,70,false,false
2010-05-24 20:08:00 UTC,1274731680,24017,CHADRON MUNICIPAL AP,NE,43,67,true,false
2010-06-08 07:04:00 UTC,1275980640,12926,CORPUS CHRISTI NAS,TX,65,95,false,false
2010-06-14 22:52:00 UTC,1276555920,23091,FORT STOCKTON PECOS COUNTY AP,TX,35,72,true,false
2010-06-17 04:52:00 UTC,1276750320,24011,BISMARCK MUNICIPAL AP,ND,46,68,true,false
2010-06-19 13:27:00 UTC,1276954020,13984,CONCORDIA BLOSSER MUNICIPAL AP,KS,46,65,true,false
2010-06-20 01:26:00 UTC,1276997160,13984,CONCORDIA BLOSSER MUNICIPAL AP,KS,38,71,true,false
2010-06-22 03:33:00 UTC,1277177580,03026,BURLINGTON CARSON AP,CO,18,66,false,false
2010-06-23 02:03:00 UTC,1277258580,24032,VALENTINE MILLER FIELD,NE,45,66,true,false
2010-06-23 22:46:00 UTC,1277333160,04808,CHICAGO AURORA MUNICIPAL AP,IL,42,68,true,false
2010-06-24 18:28:00 UTC,1277404080,94702,IGOR I SIKORSKY MEMORIAL AIRPORT,CT,37,68,true,false
2010-06-24 19:31:00 UTC,1277407860,13739,PHILADELPHIA INTL AP,PA,54,65,true,false
2010-06-27 23:00:00 UTC,1277679600,14825,FINDLAY AP,OH,38,68,true,false
2010-07-10 16:43:00 UTC,1278780180,14764,PORTLAND INTL JETPORT,ME,15,67,false,false
2010-07-16 17:21:00 UTC,1279300860,13963,LITTLE ROCK AP ADAMS FIELD,AR,15,73,false,false
2010-07-17 21:30:00 UTC,1279402200,94993,SISSETON MUNICIPAL AP,SD,35,66,true,false
2010-07-18 00:03:00 UTC,1279411380,12918,HOUSTON WILLIAM P HOBBY AP,TX,8,84,true,false
2010-07-19 23:09:00 UTC,1279580940,93786,OCEAN CITY MUNICIPAL AP,MD,14,76,false,false
2010-07-25 23:52:00 UTC,1280101920,13959,WACO REGIONAL AP,TX,47,67,true,false
2010-07-31 11:21:00 UTC,1280575260,94239,WENATCHEE PANGBORN AP,WA,13,72,false,false
2010-08-02 07:07:00 UTC,1280732820,94056,FAITH MUNICIPAL AP,SD,50,65,true,false
2010-08-02 23:43:00 UTC,1280792580,24032,VALENTINE MILLER FIELD,NE,45,70,true,false
2010-08-13 02:54:00 UTC,1281668040,94038,HETTINGER MUNICIPAL AP,ND,57,81,true,false
2010-09-15 02:31:00 UTC,1284517860,23065,GOODLAND RENNER FIELD,KS,38,68,true,false
2010-09-17 06:11:00 UTC,1284703860,12926,CORPUS CHRISTI NAS,TX,34,67,false,false
2010-09-20 22:43:00 UTC,1285022580,93058,PUEBLO MEMORIAL AP,CO,30,82,false,false
2010-09-25 11:17:00 UTC,1285413420,12926,CORPUS CHRISTI NAS,TX,53,89,false,false
2010-10-07 01:21:00 UTC,1286414460,24027,ROCK SPRINGS SWEETWATER COUNTY AP,WY,42,66,true,false
2010-10-14 15:38:00 UTC,1287070680,13776,LUMBERTON REGIONAL AIRPORT,NC,28,79,false,false
2010-11-02 12:35:00 UTC,1288701300,13927,JACKSON HAWKINS FIELD,MS,26,89,false,false
2010-11-16 09:22:00 UTC,1289899320,94129,PULLMAN MOSCOW REGIONAL AP,WA,42,74,true,false
2010-12-30 22:33:00 UTC,1293748380,23055,PINE SPRINGS GUADALUPE MOUNTAINS NP,TX,58,72,false,false
2011-03-09 12:30:00 UTC,1299673800,12916,NEW ORLEANS INTL AP,LA,30,67,true,false
2011-03-30 01:49:00 UTC,1301449740,12958,NEW ORLEANS ALVIN CALLENDER FIELD,LA,78,86,false,false
2011-03-30 02:33:00 UTC,1301452380,12958,NEW ORLEANS ALVIN CALLENDER FIELD,LA,43,117,false,false
2011-03-30 03:21:00 UTC,1301455260,12958,NEW ORLEANS ALVIN CALLENDER FIELD,LA,41,103,false,false
2011-03-30 20:44:00 UTC,1301517840,12841,ORLANDO EXECUTIVE AP,FL,37,65,true,false
2011-04-05 07:55:00 UTC,1301990100,13883,COLUMBIA METROPOLITAN AP,SC,41,65,true,false
2011-04-05 08:59:00 UTC,1301993940,53862,PERRY FOLEY AP,FL,41,65,true,false
2011-04-20 02:54:00 UTC,1303268040,93817,EVANSVILLE REGIONAL AP,IN,43,66,true,false
2011-04-23 19:49:00 UTC,1303588140,03816,PADUCAH BARKLEY REGIONAL AP,KY,51,69,true,false
2011-04-27 06:02:00 UTC,1303884120,13942,MONROE REGIONAL AP,LA,41,70,true,false
2011-05-24 21:24:00 UTC,1306272240,23065,GOODLAND RENNER FIELD,KS,58,69,true,false
2011-05-25 01:28:00 UTC,1306286880,93967,COFFEYVILLE MUNICIPAL AP,KS,19,71,true,false
2011-05-26 01:19:00 UTC,1306372740,93817,EVANSVILLE REGIONAL AP,IN,43,65,true,false
2011-05-27 01:35:00 UTC,1306460100,53917,NEW ORLEANS LAKEFRONT AP,LA,33,68,true,false
2011-06-04 04:09:00 UTC,1307160540,93997,RUSSELL MUNICIPAL AP,KS,32,69,false,false
2011-06-06 04:41:00 UTC,1307335260,94273,MCMINNVILLE MUNICIPAL AP,OR,34,85,false,false
2011-06-16 22:58:00 UTC,1308265080,93010,LIMON,CO,53,67,true,false
2011-06-17 03:24:00 UTC,1308281040,03919,SALINA MUNICIPAL AP,KS,40,67,true,false
2011-06-18 02:00:00 UTC,1308362400,14762,PITTSBURGH ALLEGHENY COUNTY AP,PA,11,111,false,false
2011-06-18 03:04:00 UTC,1308366240,14762,PITTSBURGH ALLEGHENY COUNTY AP,PA,7,111,false,false
2011-06-18 04:00:00 UTC,1308369600,14762,PITTSBURGH ALLEGHENY COUNTY AP,PA,11,111,false,false
2011-06-22 01:54:00 UTC,1308707640,04838,CHICAGO PALWAUKEE AP,IL,54,70,true,false
2011-06-23 20:08:00 UTC,1308859680,13748,WILMINGTON INTL AP,NC,30,65,true,false
2011-06-26 23:38:00 UTC,1309131480,14941,NORFOLK KARL STEFAN MEMORIAL AP,NE,46,69,true,false
2011-06-29 02:35:00 UTC,1309314900,03026,BURLINGTON CARSON AP,CO,43,73,true,false
2011-07-04 19:07:00 UTC,1309806420,13741,ROANOKE REGIONAL AP,VA,43,65,true,false
2011-07-08 22:52:00 UTC,1310165520,93058,PUEBLO MEMORIAL AP,CO,53,68,true,false
2011-07-11 13:14:00 UTC,1310390040,14819,CHICAGO MIDWAY AP,IL,37,65,true,false
2011-07-22 20:22:00 UTC,1311366120,23047,AMARILLO INTERNATIONAL AIRPORT,TX,31,70,true,false
2011-07-22 23:34:00 UTC,1311377640,14607,CARIBOU MUNICIPAL AP,ME,38,65,true,false
2011-07-26 01:08:00 UTC,1311642480,94056,FAITH MUNICIPAL AP,SD,54,66,true,false
2011-07-27 02:54:00 UTC,1311735240,23044,EL PASO INTL AP,TX,42,68,true,false
2011-07-29 07:12:00 UTC,1311923520,93730,ATLANTIC CITY INTL AP,NJ,14,65,false,false
2011-08-01 22:26:00 UTC,1312237560,94056,FAITH MUNICIPAL AP,SD,49,69,true,false
2011-08-03 23:04:00 UTC,1312412640,54757,WELLSVILLE MUNICIPAL AP,NY,18,74,false,false
2011-08-06 17:22:00 UTC,1312651320,92805,POMPANO BEACH AIRPARK,FL,52,90,false,false
2011-08-07 18:46:00 UTC,1312742760,13963,LITTLE ROCK AP ADAMS FIELD,AR,51,67,true,false
2011-08-08 01:02:00 UTC,1312765320,24032,VALENTINE MILLER FIELD,NE,43,67,true,false
2011-08-09 00:03:00 UTC,1312848180,03965,STILLWATER REGIONAL AP,OK,44,69,true,false
2011-08-10 01:23:00 UTC,1312939380,93997,RUSSELL MUNICIPAL AP,KS,43,71,true,false
2011-08-16 03:25:00 UTC,1313465100,94037,BUFFALO (ASOS),SD,42,67,true,false
2011-08-16 12:36:00 UTC,1313498160,93997,RUSSELL MUNICIPAL AP,KS,65,69,false,false
2011-08-16 14:27:00 UTC,1313504820,94957,FALLS CITY BRENNER FIELD,NE,14,68,false,false
2011-09-04 01:36:00 UTC,1315100160,04850,LIMA ALLEN COUNTY AP,OH,25,70,true,false
2011-09-08 12:20:00 UTC,1315484400,93786,OCEAN CITY MUNICIPAL AP,MD,14,78,false,false
2011-09-27 15:23:00 UTC,1317136980,13895,MONTGOMERY AP,AL,17,69,false,false
2011-11-07 22:50:00 UTC,1320706200,03932,CLINTON SHERMAN AP,OK,61,72,true,false
2011-11-07 23:08:00 UTC,1320707280,03932,CLINTON SHERMAN AP,OK,65,68,false,false
2011-11-08 00:34:00 UTC,1320712440,03932,CLINTON SHERMAN AP,OK,63,66,false,false
2011-12-29 22:06:00 UTC,1325196360,24018,CHEYENNE MUNICIPAL AP,WY,34,67,false,false
2012-01-18 02:58:00 UTC,1326855480,93801,ROME R B RUSSELL AP,GA,13,83,false,false
2012-01-18 03:08:00 UTC,1326856080,93801,ROME R B RUSSELL AP,GA,28,72,false,false
2012-03-08 08:09:00 UTC,1331194140,13987,JOPLIN REGIONAL AIRPORT,MO,19,77,false,false
2012-04-15 05:52:00 UTC,1334469120,14923,MOLINE QUAD CITY INTL AP,IL,43,68,true,false
2012-05-14 05:39:00 UTC,1336973940,23091,FORT STOCKTON PECOS COUNTY AP,TX,55,67,true,false
2012-05-14 06:01:00 UTC,1336975260,23091,FORT STOCKTON PECOS COUNTY AP,TX,52,69,true,false
2012-05-15 08:54:00 UTC,1337072040,12928,KINGSVILLE NAAS,TX,17,68,false,false
2012-05-18 21:20:00 UTC,1337376000,24061,RIVERTON REGIONAL AP,WY,48,67,true,false
2012-05-30 03:02:00 UTC,1338346920,13967,OKLAHOMA CITY WILL ROGERS WORLD AP,OK,44,66,true,false
2012-06-02 23:24:00 UTC,1338679440,23048,TUCUMCARI MUNICIPAL AP,NM,47,65,true,false
2012-06-24 01:13:00 UTC,1340500380,24153,MISSOULA INTL AP,MT,49,69,true,false
2012-06-25 20:38:00 UTC,1340656680,94057,CONVERSE COUNTY AIRPORT ASOS,WY,48,71,true,false
2012-06-29 07:35:00 UTC,1340955300,94946,BROKEN BOW MUNICIPAL AP,NE,42,68,true,false
2012-06-29 18:54:00 UTC,1340996040,14827,FORT WAYNE INTL AP,IN,55,79,true,false
2012-06-29 20:18:00 UTC,1341001080,93815,DAYTON INTL AP,OH,40,71,true,false
2012-06-29 20:54:00 UTC,1341003240,04804,COLUMBUS OHIO STATE UNIVERSITY AP,OH,39,71,true,false
2012-06-29 23:19:00 UTC,1341011940,13866,CHARLESTON YEAGER AP,WV,45,69,true,false
2012-06-30 01:08:00 UTC,1341018480,13741,ROANOKE REGIONAL AP,VA,46,70,true,false
2012-07-01 17:17:00 UTC,1341163020,94892,CHICAGO WEST CHICAGO DUPAGE AP,IL,49,65,true,false
2012-07-01 21:18:00 UTC,1341177480,13754,HAVELOCK CHERRY POINT MCAS,NC,42,73,true,false
2012-07-09 23:15:00 UTC,1341875700,24133,BURLEY MUNICIPAL AP,ID,27,68,true,false
2012-07-10 23:16:00 UTC,1341962160,24048,GREYBULL SOUTH BIG HORN COUNTY AP,WY,43,67,false,false
2012-07-25 01:31:00 UTC,1343179860,94055,BAKER MUNICIPAL AIRPOPRT,MT,56,65,true,false
2012-07-31 23:58:00 UTC,1343779080,24150,LIVINGSTON MISSION FIELD,MT,47,65,false,false
2012-08-01 23:51:00 UTC,1343865060,14992,REDWOOD FALLS MUNICIPAL AIRPORT,MN,46,69,true,false
2012-08-03 23:52:00 UTC,1344037920,14936,HURON REGIONAL AP,SD,39,68,true,false
