lat,lon,estimated_sig_report_days_per_year_grid_130_cropped_blurred
22.711,-101.86500000000001,0.0
22.717,-101.733,0.0
22.723,-101.601,0.0
22.729,-101.469,0.0
22.735,-101.33800000000002,0.0
22.741,-101.20600000000002,0.0
22.746,-101.07400000000001,0.0
22.752,-100.94200000000001,0.0
22.757,-100.81,0.0
22.762,-100.678,0.0
22.767,-100.54599999999999,0.0
22.772,-100.41500000000002,0.0
22.777,-100.28300000000002,0.0
22.781,-100.15100000000001,0.0
22.786,-100.019,0.0
22.79,-99.887,0.0
22.795,-99.755,0.0
22.799,-99.62299999999999,0.0
22.803,-99.49099999999999,0.0
22.807,-99.35899999999998,0.0
22.811,-99.22699999999998,0.0
22.815,-99.09500000000003,0.0
22.818,-98.96300000000002,0.0
22.822,-98.83100000000002,0.0
22.825,-98.69900000000001,0.0
22.828,-98.56700000000001,0.0
22.832,-98.435,0.0
22.835,-98.303,0.0
22.837,-98.17099999999999,0.0
22.84,-98.03899999999999,0.0
22.843,-97.90699999999998,0.0
22.845,-97.77499999999998,0.0
22.848,-97.64299999999997,0.0
22.85,-97.51100000000002,0.0
22.852,-97.37900000000002,0.0
22.855,-97.24700000000001,0.0
22.856,-97.11399999999998,0.0
22.858,-96.98200000000003,0.0
22.86,-96.85000000000002,0.0
22.862,-96.71800000000002,0.0
22.863,-96.58600000000001,0.0
22.864,-96.45400000000001,0.0
22.866,-96.322,0.0
22.867,-96.19,0.0
22.868,-96.05799999999999,0.0
22.869,-95.92599999999999,0.0
22.87,-95.793,0.0
22.87,-95.661,0.0
22.871,-95.529,0.0
22.871,-95.39699999999999,0.0
22.871,-95.26499999999999,0.0
22.872,-95.13299999999998,0.0
22.872,-95.00099999999998,0.0
22.872,-94.86900000000003,0.0
22.871,-94.73700000000002,0.0
22.871,-94.60399999999998,0.0
22.871,-94.47199999999998,0.0
22.87,-94.33999999999997,0.0
22.87,-94.20800000000003,0.0
22.869,-94.07600000000002,0.0
22.868,-93.94400000000002,0.0
22.867,-93.81200000000001,0.0
22.866,-93.68,0.0
22.864,-93.548,0.0
22.863,-93.416,0.0
22.862,-93.28300000000002,0.0
22.86,-93.15100000000001,0.0
22.858,-93.019,0.0
22.856,-92.887,0.0
22.855,-92.755,0.0
22.852,-92.62299999999999,0.0
22.85,-92.49099999999999,0.0
22.848,-92.35899999999998,0.0
22.846,-92.22699999999998,0.0
22.843,-92.09500000000003,0.0
22.84,-91.96300000000002,0.0
22.838,-91.83100000000002,0.0
22.835,-91.69900000000001,0.0
22.832,-91.56700000000001,0.0
22.828,-91.435,0.0
22.825,-91.303,0.0
22.822,-91.17099999999999,0.0
22.818,-91.03899999999999,0.0
22.815,-90.90699999999998,0.0
22.811,-90.77499999999998,0.0
22.807,-90.64299999999997,0.0
22.803,-90.51100000000002,0.0
22.799,-90.37900000000002,0.0
22.795,-90.24700000000001,0.0
22.791,-90.11500000000001,0.0
22.786,-89.983,0.0
22.782,-89.851,0.0
22.777,-89.719,0.0
22.772,-89.58699999999999,0.0
22.767,-89.45499999999998,0.0
22.762,-89.32299999999998,0.0
22.757,-89.19099999999997,0.0
22.752,-89.06,0.0
22.746,-88.928,0.0
22.741,-88.79599999999999,0.0
22.735,-88.66399999999999,0.0
22.729,-88.53199999999998,0.0
22.724,-88.39999999999998,0.0
22.718,-88.269,0.0
22.711,-88.137,0.0
22.705,-88.005,0.0
22.699,-87.87299999999999,0.0
22.692,-87.74200000000002,0.0
