convective_date,convective_day_index,wban_id,good_row_count
2003-09-30,12325,14737,420
2003-10-01,12326,14737,1439
2003-10-02,12327,14737,1053
2003-10-03,12328,14737,1440
2003-10-04,12329,14737,1440
2003-10-05,12330,14737,1314
2003-10-06,12331,14737,1370
2003-10-07,12332,14737,1425
2003-10-08,12333,14737,1440
2003-10-09,12334,14737,1440
2003-10-10,12335,14737,1440
2003-10-11,12336,14737,1440
2003-10-12,12337,14737,1349
2003-10-13,12338,14737,1413
2003-10-14,12339,14737,1231
2003-10-15,12340,14737,1229
2003-10-16,12341,14737,1317
2003-10-17,12342,14737,1342
2003-10-18,12343,14737,1440
2003-10-19,12344,14737,841
2003-10-20,12345,14737,839
2003-10-21,12346,14737,1440
2003-10-22,12347,14737,1335
2003-10-23,12348,14737,1439
2003-10-24,12349,14737,1279
2003-10-25,12350,14737,1408
2003-10-26,12351,14737,932
2003-10-27,12352,14737,1440
2003-10-28,12353,14737,1048
2003-09-30,12325,13962,360
2003-10-01,12326,13962,1440
2003-10-02,12327,13962,1439
2003-10-03,12328,13962,692
2003-09-30,12325,23050,300
2003-10-01,12326,23050,1440
2003-10-02,12327,23050,1439
2003-10-03,12328,23050,1440
2003-10-04,12329,23050,1232
2003-10-05,12330,23050,1437
2003-10-06,12331,23050,1440
2003-10-07,12332,23050,1342
2003-10-08,12333,23050,1440
2003-10-09,12334,23050,1440
2003-10-10,12335,23050,1440
2003-10-11,12336,23050,1267
2003-10-12,12337,23050,1440
2003-10-13,12338,23050,1440
2003-10-14,12339,23050,1233
2003-10-15,12340,23050,1440
2003-10-16,12341,23050,1440
2003-10-17,12342,23050,1440
2003-10-18,12343,23050,1440
2003-10-19,12344,23050,1440
2003-10-20,12345,23050,1389
2003-10-21,12346,23050,1440
2003-10-22,12347,23050,1318
2003-10-23,12348,23050,1437
2003-10-24,12349,23050,1409
2003-10-25,12350,23050,1440
2003-10-26,12351,23050,1440
2003-10-27,12352,23050,1440
2003-10-28,12353,23050,1050
2003-09-30,12325,14929,360
2003-10-01,12326,14929,1281
2003-10-02,12327,14929,1440
2003-10-03,12328,14929,1252
2003-10-04,12329,14929,707
2003-10-05,12330,14929,1361
2003-10-06,12331,14929,1439
2003-10-07,12332,14929,1440
2003-10-08,12333,14929,1440
2003-10-09,12334,14929,1373
2003-10-10,12335,14929,1440
2003-10-11,12336,14929,1440
2003-10-12,12337,14929,1389
2003-10-13,12338,14929,1440
2003-10-14,12339,14929,1330
2003-10-15,12340,14929,1440
2003-10-16,12341,14929,1440
2003-10-17,12342,14929,1440
2003-10-18,12343,14929,1440
2003-10-19,12344,14929,1378
2003-10-20,12345,14929,1440
2003-10-21,12346,14929,1440
2003-10-22,12347,14929,1340
2003-10-23,12348,14929,996
2003-10-24,12349,14929,1159
2003-10-25,12350,14929,800
2003-10-26,12351,14929,1302
2003-10-27,12352,14929,1039
2003-10-28,12353,14929,1034
2003-09-30,12325,13959,288
2003-10-01,12326,13959,1440
2003-10-02,12327,13959,1440
2003-10-03,12328,13959,1439
2003-10-04,12329,13959,1440
2003-10-05,12330,13959,1440
2003-10-06,12331,13959,1440
2003-10-07,12332,13959,1440
2003-10-08,12333,13959,1440
2003-10-09,12334,13959,1440
2003-10-10,12335,13959,1377
2003-10-11,12336,13959,1440
2003-10-12,12337,13959,1389
2003-10-13,12338,13959,1440
2003-10-14,12339,13959,1440
2003-10-15,12340,13959,1440
2003-10-16,12341,13959,1360
2003-10-17,12342,13959,1437
2003-10-18,12343,13959,1440
2003-10-19,12344,13959,1440
