convective_date,convective_day_index,wban_id,good_row_count
2015-12-31,16800,63870,360
2016-01-01,16801,63870,1440
2016-01-02,16802,63870,830
2016-01-03,16803,63870,1440
2016-01-04,16804,63870,1440
2016-01-05,16805,63870,1440
2016-01-06,16806,63870,1241
2016-01-07,16807,63870,1038
2016-01-08,16808,63870,838
2016-01-09,16809,63870,1439
2016-01-10,16810,63870,1440
2016-01-11,16811,63870,221
2016-01-12,16812,63870,1384
2016-01-13,16813,63870,1436
2016-01-14,16814,63870,1351
2016-01-15,16815,63870,111
2016-01-17,16817,63870,89
2016-01-29,16829,63870,29
2016-01-30,16830,63870,196
2016-01-31,16831,63870,1060
2016-01-02,16802,54779,1104
2016-01-03,16803,54779,318
2016-01-04,16804,54779,616
2016-01-05,16805,54779,815
2016-01-08,16808,54779,719
2016-01-09,16809,54779,291
2016-01-10,16810,54779,985
2016-01-12,16812,54779,396
2016-01-13,16813,54779,694
2016-01-14,16814,54779,575
2016-01-15,16815,54779,863
2016-01-17,16817,54779,961
2016-01-18,16818,54779,1315
2016-01-19,16819,54779,1351
2016-01-20,16820,54779,797
2016-01-21,16821,54779,866
2016-01-22,16822,54779,1436
2016-01-23,16823,54779,1410
2016-01-24,16824,54779,1431
2016-01-25,16825,54779,1440
2016-01-26,16826,54779,1440
2016-01-27,16827,54779,1420
2016-01-28,16828,54779,1440
2016-01-29,16829,54779,1411
2016-01-30,16830,54779,1440
2016-01-31,16831,54779,1020
2016-01-01,16801,63871,628
2016-01-02,16802,63871,808
2016-01-04,16804,63871,16
2016-01-05,16805,63871,1360
2016-01-07,16807,63871,140
2016-01-08,16808,63871,1110
2016-01-09,16809,63871,1205
2016-01-10,16810,63871,1045
2016-01-12,16812,63871,1376
2016-01-13,16813,63871,1233
2016-01-14,16814,63871,1377
2016-01-15,16815,63871,1440
2016-01-16,16816,63871,28
2016-01-17,16817,63871,288
2016-01-18,16818,63871,868
2016-01-19,16819,63871,1432
2016-01-20,16820,63871,1437
2016-01-21,16821,63871,838
2016-01-22,16822,63871,1440
2016-01-23,16823,63871,1440
2016-01-24,16824,63871,1000
2016-01-25,16825,63871,1234
2016-01-26,16826,63871,1309
2016-01-27,16827,63871,1440
2016-01-28,16828,63871,1316
2016-01-29,16829,63871,1440
2016-01-30,16830,63871,1436
2016-01-31,16831,63871,1020
2015-12-31,16800,94037,300
2016-01-01,16801,94037,1440
2016-01-02,16802,94037,1440
2016-01-03,16803,94037,1440
2016-01-04,16804,94037,1440
2016-01-05,16805,94037,1440
2016-01-06,16806,94037,1283
2016-01-07,16807,94037,1050
2016-01-08,16808,94037,1440
2016-01-09,16809,94037,1439
2016-01-10,16810,94037,1440
2016-01-11,16811,94037,210
2016-01-12,16812,94037,1409
2016-01-13,16813,94037,1440
2016-01-14,16814,94037,1377
2016-01-15,16815,94037,1440
2016-01-16,16816,94037,1291
2016-01-17,16817,94037,995
2016-01-18,16818,94037,1383
2016-01-19,16819,94037,1440
2016-01-20,16820,94037,1440
2016-01-21,16821,94037,1436
2016-01-22,16822,94037,1440
2016-01-23,16823,94037,1440
2016-01-24,16824,94037,1440
2016-01-25,16825,94037,1440
2016-01-26,16826,94037,1440
2016-01-27,16827,94037,1440
2016-01-28,16828,94037,1440
2016-01-29,16829,94037,1440
2016-01-30,16830,94037,1440
2016-01-31,16831,94037,1140
2015-12-31,16800,03032,360
2016-01-01,16801,03032,1440
2016-01-02,16802,03032,1422
2016-01-03,16803,03032,1410
2016-01-04,16804,03032,1440
2016-01-05,16805,03032,1423
2016-01-06,16806,03032,1201
2016-01-07,16807,03032,1051
2016-01-08,16808,03032,1440
2016-01-09,16809,03032,1415
2016-01-10,16810,03032,1432
2016-01-11,16811,03032,205
2016-01-12,16812,03032,1289
2016-01-13,16813,03032,1431
2016-01-14,16814,03032,1377
2016-01-15,16815,03032,1418
2016-01-16,16816,03032,1260
2016-01-17,16817,03032,1000
2016-01-18,16818,03032,1429
2016-01-19,16819,03032,1430
2016-01-20,16820,03032,1400
2016-01-21,16821,03032,1440
2016-01-22,16822,03032,1417
2016-01-23,16823,03032,1440
2016-01-24,16824,03032,1432
2016-01-25,16825,03032,1436
2016-01-26,16826,03032,1440
2016-01-27,16827,03032,1418
2016-01-28,16828,03032,1440
2016-01-29,16829,03032,1404
2016-01-30,16830,03032,1431
2016-01-31,16831,03032,1076
2016-01-02,16802,53843,78
2016-01-03,16803,53843,27
2016-01-04,16804,53843,27
2016-01-10,16810,53843,17
2016-01-15,16815,53843,343
2016-01-18,16818,53843,15
2016-01-26,16826,53843,153
2015-12-31,16800,94993,354
2016-01-01,16801,94993,1436
2016-01-02,16802,94993,1428
2016-01-03,16803,94993,1433
2016-01-04,16804,94993,1440
2016-01-05,16805,94993,1440
2016-01-06,16806,94993,1220
2016-01-07,16807,94993,1048
2016-01-08,16808,94993,1419
2016-01-09,16809,94993,1440
2016-01-10,16810,94993,1440
2016-01-11,16811,94993,200
2016-01-12,16812,94993,1398
2016-01-13,16813,94993,1436
2016-01-14,16814,94993,1378
2016-01-15,16815,94993,1440
2016-01-16,16816,94993,1440
2016-01-17,16817,94993,1440
2016-01-18,16818,94993,1440
2016-01-19,16819,94993,1440
2016-01-20,16820,94993,1440
2016-01-21,16821,94993,1440
2016-01-22,16822,94993,1440
2016-01-23,16823,94993,1436
2016-01-24,16824,94993,1440
2016-01-25,16825,94993,1440
2016-01-26,16826,94993,1440
2016-01-27,16827,94993,1440
2016-01-28,16828,94993,1440
2016-01-29,16829,94993,1440
2016-01-30,16830,94993,1436
2016-01-31,16831,94993,1080
2016-01-01,16801,53144,646
2016-01-02,16802,53144,722
2016-01-03,16803,53144,503
2016-01-04,16804,53144,849
2016-01-05,16805,53144,74
2015-12-31,16800,12832,420
2016-01-01,16801,12832,1440
2016-01-02,16802,12832,1435
2016-01-03,16803,12832,1440
2016-01-04,16804,12832,1440
2016-01-05,16805,12832,1440
2016-01-06,16806,12832,1215
2016-01-07,16807,12832,1062
2016-01-08,16808,12832,1440
2016-01-09,16809,12832,1440
2016-01-10,16810,12832,1440
2016-01-11,16811,12832,195
2016-01-12,16812,12832,1416
2016-01-13,16813,12832,1440
2016-01-14,16814,12832,1440
2016-01-15,16815,12832,1440
2016-01-16,16816,12832,1440
2016-01-17,16817,12832,1440
2016-01-18,16818,12832,1440
2016-01-19,16819,12832,1427
2016-01-20,16820,12832,1440
2016-01-21,16821,12832,1440
2016-01-22,16822,12832,1440
2016-01-23,16823,12832,1440
2016-01-24,16824,12832,1435
2016-01-25,16825,12832,1440
2016-01-26,16826,12832,1427
2016-01-27,16827,12832,1440
2016-01-28,16828,12832,1440
2016-01-29,16829,12832,1440
2016-01-30,16830,12832,1440
2016-01-31,16831,12832,1020
2015-12-31,16800,03974,360
2016-01-01,16801,03974,1440
2016-01-02,16802,03974,1435
2016-01-03,16803,03974,1440
2016-01-04,16804,03974,1339
2016-01-05,16805,03974,1417
2016-01-06,16806,03974,1124
2016-01-07,16807,03974,1020
2016-01-08,16808,03974,1414
2016-01-09,16809,03974,1440
2016-01-10,16810,03974,1427
2016-01-11,16811,03974,193
2016-01-12,16812,03974,1417
2016-01-13,16813,03974,1433
2016-01-14,16814,03974,1440
2016-01-15,16815,03974,1440
2016-01-16,16816,03974,1440
2016-01-17,16817,03974,1440
2016-01-18,16818,03974,1440
2016-01-19,16819,03974,1440
2016-01-20,16820,03974,1440
2016-01-21,16821,03974,1440
2016-01-22,16822,03974,1440
2016-01-23,16823,03974,1440
2016-01-24,16824,03974,1440
2016-01-25,16825,03974,1440
2016-01-26,16826,03974,1440
2016-01-27,16827,03974,1440
2016-01-28,16828,03974,1338
2016-01-29,16829,03974,1440
2016-01-30,16830,03974,1440
2016-01-31,16831,03974,1080
2015-12-31,16800,94299,235
2016-01-01,16801,94299,1435
2016-01-02,16802,94299,1407
2016-01-03,16803,94299,1436
2016-01-04,16804,94299,841
2016-01-05,16805,94299,1428
2016-01-06,16806,94299,1201
2016-01-07,16807,94299,1044
2016-01-08,16808,94299,1423
2016-01-09,16809,94299,1440
2016-01-10,16810,94299,1440
2016-01-11,16811,94299,191
2016-01-12,16812,94299,1300
2016-01-13,16813,94299,1435
2016-01-14,16814,94299,1422
