convective_date,convective_day_index,wban_id,good_row_count
2017-01-31,17197,63870,360
2017-02-01,17198,63870,571
2017-02-02,17199,63870,384
2017-02-03,17200,63870,1431
2017-02-04,17201,63870,218
2017-02-06,17203,63870,756
2017-02-07,17204,63870,1344
2017-02-08,17205,63870,603
2017-02-09,17206,63870,759
2017-02-11,17208,63870,720
2017-02-12,17209,63870,454
2017-02-13,17210,63870,1437
2017-02-14,17211,63870,1431
2017-02-15,17212,63870,826
2017-02-16,17213,63870,1208
2017-02-17,17214,63870,395
2017-02-18,17215,63870,973
2017-02-19,17216,63870,715
2017-02-20,17217,63870,1400
2017-02-21,17218,63870,1440
2017-02-22,17219,63870,515
2017-02-23,17220,63870,1098
2017-02-24,17221,63870,1436
2017-02-25,17222,63870,1336
2017-02-27,17224,63870,718
2017-02-28,17225,63870,796
2017-01-31,17197,54779,420
2017-02-01,17198,54779,1427
2017-02-02,17199,54779,1408
2017-02-03,17200,54779,1399
2017-02-04,17201,54779,1423
2017-02-05,17202,54779,623
2017-02-06,17203,54779,1401
2017-02-07,17204,54779,1345
2017-02-08,17205,54779,897
2017-02-09,17206,54779,1409
2017-02-10,17207,54779,1406
2017-02-11,17208,54779,1435
2017-02-12,17209,54779,1377
2017-02-13,17210,54779,1383
2017-02-14,17211,54779,1435
2017-02-15,17212,54779,1343
2017-02-16,17213,54779,1381
2017-02-17,17214,54779,1412
2017-02-18,17215,54779,1439
2017-02-19,17216,54779,1411
2017-02-20,17217,54779,1431
2017-02-21,17218,54779,1435
2017-02-22,17219,54779,1156
2017-02-23,17220,54779,1111
2017-02-24,17221,54779,1343
2017-02-25,17222,54779,836
2017-02-26,17223,54779,1409
2017-02-27,17224,54779,1436
2017-02-28,17225,54779,988
2017-01-31,17197,63871,418
2017-02-01,17198,63871,1436
2017-02-02,17199,63871,1436
2017-02-03,17200,63871,1440
2017-02-04,17201,63871,1425
2017-02-05,17202,63871,850
2017-02-06,17203,63871,1436
2017-02-07,17204,63871,1111
2017-02-08,17205,63871,1434
2017-02-09,17206,63871,1437
2017-02-10,17207,63871,1435
2017-02-11,17208,63871,1436
2017-02-12,17209,63871,1433
2017-02-13,17210,63871,1440
2017-02-14,17211,63871,1433
2017-02-15,17212,63871,1438
2017-02-16,17213,63871,1438
2017-02-17,17214,63871,1431
2017-02-18,17215,63871,1432
2017-02-19,17216,63871,1440
2017-02-20,17217,63871,1433
2017-02-21,17218,63871,1436
2017-02-22,17219,63871,1221
2017-02-23,17220,63871,1116
2017-02-24,17221,63871,1428
2017-02-25,17222,63871,1436
2017-02-26,17223,63871,1200
2017-02-27,17224,63871,1053
2017-02-28,17225,63871,1016
2017-01-31,17197,94037,300
2017-02-01,17198,94037,1440
2017-02-02,17199,94037,1440
2017-02-03,17200,94037,1440
2017-02-04,17201,94037,1440
2017-02-05,17202,94037,850
2017-02-06,17203,94037,1440
2017-02-07,17204,94037,1440
2017-02-08,17205,94037,1440
2017-02-09,17206,94037,1440
2017-02-10,17207,94037,1440
2017-02-11,17208,94037,1440
2017-02-12,17209,94037,1440
2017-02-13,17210,94037,1440
2017-02-14,17211,94037,1440
2017-02-15,17212,94037,1440
2017-02-16,17213,94037,1436
2017-02-17,17214,94037,1440
2017-02-18,17215,94037,1440
2017-02-19,17216,94037,1440
2017-02-20,17217,94037,1440
2017-02-21,17218,94037,1422
2017-02-22,17219,94037,1432
2017-02-23,17220,94037,1440
2017-02-24,17221,94037,1435
2017-02-25,17222,94037,1440
2017-02-26,17223,94037,1440
2017-02-27,17224,94037,1436
2017-02-28,17225,94037,1140
2017-01-31,17197,03032,360
2017-02-01,17198,03032,1440
2017-02-02,17199,03032,1401
2017-02-03,17200,03032,1440
2017-02-04,17201,03032,1435
2017-02-05,17202,03032,850
2017-02-06,17203,03032,1440
2017-02-07,17204,03032,1440
2017-02-08,17205,03032,1440
2017-02-09,17206,03032,1440
2017-02-10,17207,03032,1440
2017-02-11,17208,03032,1440
2017-02-12,17209,03032,1440
2017-02-13,17210,03032,1440
2017-02-14,17211,03032,1440
2017-02-15,17212,03032,1418
2017-02-16,17213,03032,1435
2017-02-17,17214,03032,1440
2017-02-18,17215,03032,1427
2017-02-19,17216,03032,1440
2017-02-20,17217,03032,1440
2017-02-21,17218,03032,1440
2017-02-22,17219,03032,1435
2017-02-23,17220,03032,1440
2017-02-24,17221,03032,1435
2017-02-25,17222,03032,1436
2017-02-26,17223,03032,1435
2017-02-27,17224,03032,1436
2017-02-28,17225,03032,1075
2017-01-31,17197,53843,360
2017-02-01,17198,53843,1180
2017-02-02,17199,53843,1078
2017-02-03,17200,53843,1436
2017-02-04,17201,53843,844
2017-02-05,17202,53843,660
2017-02-06,17203,53843,822
2017-02-07,17204,53843,1427
2017-02-08,17205,53843,1436
2017-02-09,17206,53843,1440
2017-02-10,17207,53843,1426
2017-02-11,17208,53843,1440
2017-02-12,17209,53843,1014
2017-02-13,17210,53843,1246
2017-02-14,17211,53843,1423
2017-02-15,17212,53843,1440
2017-02-16,17213,53843,1432
2017-02-17,17214,53843,1066
2017-02-18,17215,53843,1207
