convective_date,convective_day_index,wban_id,good_row_count
2013-08-31,15948,63870,360
2013-09-01,15949,63870,1438
2013-09-02,15950,63870,1440
2013-09-03,15951,63870,1439
2013-09-04,15952,63870,1440
2013-09-05,15953,63870,1440
2013-09-06,15954,63870,1440
2013-09-07,15955,63870,1299
2013-09-08,15956,63870,1440
2013-09-09,15957,63870,1440
2013-09-10,15958,63870,1440
2013-09-11,15959,63870,359
2013-09-12,15960,63870,1071
2013-09-13,15961,63870,1230
2013-09-14,15962,63870,1195
2013-09-15,15963,63870,651
2013-09-16,15964,63870,1440
2013-09-17,15965,63870,1439
2013-09-18,15966,63870,1410
2013-09-19,15967,63870,188
2013-09-20,15968,63870,1192
2013-09-21,15969,63870,176
2013-09-22,15970,63870,1425
2013-09-23,15971,63870,1419
2013-09-24,15972,63870,728
2013-09-25,15973,63870,1440
2013-09-26,15974,63870,1014
2013-09-27,15975,63870,720
2013-09-28,15976,63870,1350
2013-09-29,15977,63870,1320
2013-09-30,15978,63870,517
2013-09-02,15950,63871,28
2013-09-04,15952,63871,231
2013-09-13,15961,63871,146
2013-09-16,15964,63871,103
2013-09-25,15973,63871,53
2013-08-31,15948,94037,300
2013-09-01,15949,94037,1439
2013-09-02,15950,94037,1440
2013-09-03,15951,94037,1440
2013-09-04,15952,94037,1440
2013-09-05,15953,94037,1440
2013-09-06,15954,94037,1440
2013-09-07,15955,94037,1433
2013-09-08,15956,94037,1440
2013-09-09,15957,94037,1425
2013-09-10,15958,94037,1335
2013-09-11,15959,94037,751
2013-09-12,15960,94037,1387
2013-09-13,15961,94037,1440
2013-09-14,15962,94037,1440
2013-09-15,15963,94037,1199
2013-09-16,15964,94037,1440
2013-09-17,15965,94037,1440
2013-09-18,15966,94037,1375
2013-09-19,15967,94037,1440
2013-09-20,15968,94037,1044
2013-09-21,15969,94037,1325
2013-09-22,15970,94037,1440
2013-09-23,15971,94037,1430
2013-09-24,15972,94037,1387
2013-09-25,15973,94037,1440
2013-09-26,15974,94037,1408
2013-09-27,15975,94037,1440
2013-09-28,15976,94037,1436
2013-09-29,15977,94037,1440
2013-09-30,15978,94037,1122
2013-08-31,15948,53843,313
2013-09-01,15949,53843,1440
2013-09-02,15950,53843,1440
2013-09-03,15951,53843,1437
2013-09-04,15952,53843,1440
2013-09-05,15953,53843,1440
2013-09-06,15954,53843,1323
2013-09-07,15955,53843,1348
2013-09-08,15956,53843,1440
2013-09-09,15957,53843,1185
2013-09-10,15958,53843,1243
2013-09-11,15959,53843,556
2013-09-12,15960,53843,1270
2013-09-13,15961,53843,1440
2013-09-14,15962,53843,1317
2013-09-16,15964,53843,1386
2013-09-17,15965,53843,1208
2013-09-18,15966,53843,934
2013-09-20,15968,53843,1080
2013-09-21,15969,53843,1434
2013-09-22,15970,53843,828
2013-09-23,15971,53843,1431
2013-09-24,15972,53843,1389
2013-09-25,15973,53843,795
2013-09-26,15974,53843,1408
2013-09-27,15975,53843,1440
2013-09-28,15976,53843,1440
2013-09-29,15977,53843,1440
2013-09-30,15978,53843,1061
2013-09-01,15949,53144,1283
2013-09-02,15950,53144,1381
2013-09-03,15951,53144,86
2013-09-04,15952,53144,702
2013-09-05,15953,53144,1195
2013-09-06,15954,53144,739
2013-09-07,15955,53144,1201
2013-09-08,15956,53144,1228
2013-09-09,15957,53144,844
2013-09-10,15958,53144,907
2013-09-11,15959,53144,901
2013-09-12,15960,53144,1415
2013-09-13,15961,53144,1213
2013-09-14,15962,53144,1287
2013-09-15,15963,53144,1199
2013-09-16,15964,53144,1277
2013-09-17,15965,53144,1345
2013-09-18,15966,53144,1223
2013-09-19,15967,53144,1411
2013-09-20,15968,53144,581
2013-09-21,15969,53144,826
2013-09-22,15970,53144,181
2013-09-23,15971,53144,1247
2013-09-24,15972,53144,720
2013-09-26,15974,53144,488
2013-09-27,15975,53144,871
2013-09-28,15976,53144,720
2013-09-29,15977,53144,212
2013-09-30,15978,53144,1200
2013-08-31,15948,03974,360
2013-09-01,15949,03974,1440
2013-09-02,15950,03974,1440
2013-09-03,15951,03974,1147
2013-09-04,15952,03974,1440
2013-09-05,15953,03974,1440
2013-09-06,15954,03974,1440
2013-09-07,15955,03974,1440
2013-09-08,15956,03974,1440
2013-09-09,15957,03974,1439
2013-09-10,15958,03974,1430
2013-09-11,15959,03974,1439
2013-09-12,15960,03974,1440
2013-09-13,15961,03974,1440
2013-09-14,15962,03974,1440
2013-09-15,15963,03974,1199
2013-09-16,15964,03974,1440
2013-09-17,15965,03974,1440
2013-09-18,15966,03974,1430
2013-09-19,15967,03974,1440
2013-09-20,15968,03974,1440
2013-09-21,15969,03974,1439
2013-09-22,15970,03974,1440
2013-09-23,15971,03974,1440
2013-09-24,15972,03974,1382
2013-09-25,15973,03974,1440
2013-09-26,15974,03974,1427
2013-09-27,15975,03974,1440
2013-09-28,15976,03974,1440
2013-09-29,15977,03974,1440
2013-09-30,15978,03974,1080
2013-08-31,15948,14737,420
2013-09-01,15949,14737,1430
2013-09-02,15950,14737,1440
2013-09-03,15951,14737,1440
2013-09-04,15952,14737,1440
2013-09-05,15953,14737,1440
2013-09-06,15954,14737,1440
2013-09-07,15955,14737,1440
2013-09-08,15956,14737,1440
2013-09-09,15957,14737,1440
2013-09-10,15958,14737,1440
2013-09-11,15959,14737,1440
2013-09-12,15960,14737,1440
2013-09-13,15961,14737,1440
2013-09-14,15962,14737,1440
2013-09-15,15963,14737,1200
2013-09-16,15964,14737,1440
2013-09-17,15965,14737,1440
2013-09-18,15966,14737,1440
2013-09-19,15967,14737,1440
2013-09-20,15968,14737,1440
2013-09-21,15969,14737,1440
2013-09-22,15970,14737,1440
2013-09-23,15971,14737,1440
2013-09-24,15972,14737,1382
2013-09-25,15973,14737,1440
2013-09-26,15974,14737,1440
2013-09-27,15975,14737,1440
2013-09-28,15976,14737,1437
2013-09-29,15977,14737,1426
2013-09-30,15978,14737,1020
2013-08-31,15948,03068,300
2013-09-01,15949,03068,1382
2013-09-02,15950,03068,1440
2013-09-03,15951,03068,1440
2013-09-04,15952,03068,69
2013-09-05,15953,03068,1277
2013-09-06,15954,03068,1372
2013-09-07,15955,03068,1440
2013-09-08,15956,03068,1440
2013-09-09,15957,03068,1439
2013-09-10,15958,03068,1440
2013-09-11,15959,03068,1440
2013-09-12,15960,03068,1247
2013-09-13,15961,03068,1440
2013-09-14,15962,03068,1440
2013-09-15,15963,03068,1200
2013-09-16,15964,03068,1440
2013-09-17,15965,03068,1440
2013-09-18,15966,03068,1430
2013-09-19,15967,03068,1440
2013-09-20,15968,03068,1440
2013-09-21,15969,03068,1439
2013-09-22,15970,03068,1440
2013-09-23,15971,03068,1440
2013-09-24,15972,03068,1382
2013-09-25,15973,03068,1440
2013-09-26,15974,03068,1440
2013-09-27,15975,03068,1440
2013-09-28,15976,03068,1440
2013-09-29,15977,03068,1440
2013-09-30,15978,03068,1138
2013-08-31,15948,13962,360
2013-09-01,15949,13962,1439
2013-09-02,15950,13962,1440
2013-09-03,15951,13962,1355
2013-09-04,15952,13962,1006
2013-09-05,15953,13962,1440
2013-09-06,15954,13962,1394
2013-09-07,15955,13962,1439
2013-09-08,15956,13962,1412
2013-09-09,15957,13962,1440
2013-09-10,15958,13962,1440
2013-09-11,15959,13962,1439
2013-09-12,15960,13962,1440
2013-09-13,15961,13962,1440
2013-09-14,15962,13962,1440
2013-09-15,15963,13962,1200
2013-09-16,15964,13962,1440
2013-09-17,15965,13962,1387
2013-09-18,15966,13962,1419
2013-09-19,15967,13962,1440
2013-09-20,15968,13962,1440
2013-09-21,15969,13962,1440
2013-09-22,15970,13962,1423
2013-09-23,15971,13962,1439
2013-09-24,15972,13962,1421
2013-09-25,15973,13962,1440
2013-09-26,15974,13962,1440
2013-09-27,15975,13962,1440
2013-09-28,15976,13962,1335
2013-09-29,15977,13962,840
2013-09-30,15978,13962,1080
2013-08-31,15948,23050,300
2013-09-01,15949,23050,1439
2013-09-02,15950,23050,1440
2013-09-03,15951,23050,1440
2013-09-04,15952,23050,1439
2013-09-05,15953,23050,1440
2013-09-06,15954,23050,1440
2013-09-07,15955,23050,1439
2013-09-08,15956,23050,1437
2013-09-09,15957,23050,1438
2013-09-10,15958,23050,1440
2013-09-11,15959,23050,1440
2013-09-12,15960,23050,1437
2013-09-13,15961,23050,1440
2013-09-14,15962,23050,1440
