convective_date,convective_day_index,wban_id,good_row_count
2014-03-31,16160,27503,100
2014-03-31,16160,63870,360
2014-04-01,16161,63870,1129
2014-04-02,16162,63870,1152
2014-04-03,16163,63870,836
2014-04-04,16164,63870,1440
2014-04-05,16165,63870,1439
2014-04-06,16166,63870,1440
2014-04-07,16167,63870,1438
2014-04-08,16168,63870,1440
2014-04-09,16169,63870,843
2014-04-10,16170,63870,1439
2014-04-11,16171,63870,842
2014-04-12,16172,63870,1439
2014-04-13,16173,63870,1021
2014-04-14,16174,63870,179
2014-04-15,16175,63870,1440
2014-04-16,16176,63870,1440
2014-04-17,16177,63870,1440
2014-04-18,16178,63870,839
2014-04-19,16179,63870,1440
2014-04-20,16180,63870,1440
2014-04-21,16181,63870,499
2014-04-22,16182,63870,1145
2014-04-23,16183,63870,1392
2014-04-24,16184,63870,1440
2014-04-25,16185,63870,663
2014-04-26,16186,63870,976
2014-04-27,16187,63870,1440
2014-04-28,16188,63870,1440
2014-04-29,16189,63870,1439
2014-04-30,16190,63870,1080
2014-03-31,16160,54779,420
2014-04-01,16161,54779,1435
2014-04-02,16162,54779,1426
2014-04-03,16163,54779,1428
2014-04-04,16164,54779,1380
2014-04-05,16165,54779,1241
2014-04-06,16166,54779,975
2014-04-07,16167,54779,1422
2014-04-08,16168,54779,842
2014-04-09,16169,54779,1423
2014-04-10,16170,54779,1427
2014-04-11,16171,54779,1427
2014-04-12,16172,54779,1406
2014-04-13,16173,54779,1425
2014-04-14,16174,54779,762
2014-04-15,16175,54779,1431
2014-04-16,16176,54779,1409
2014-04-17,16177,54779,1367
2014-04-18,16178,54779,1430
2014-04-19,16179,54779,820
2014-04-20,16180,54779,1401
2014-04-21,16181,54779,1415
2014-04-22,16182,54779,1419
2014-04-23,16183,54779,1412
2014-04-24,16184,54779,1431
2014-04-25,16185,54779,1414
2014-04-26,16186,54779,1423
2014-04-27,16187,54779,1431
2014-04-28,16188,54779,1374
2014-04-29,16189,54779,1278
2014-04-30,16190,54779,906
2014-04-17,16177,63871,150
2014-04-18,16178,63871,724
2014-04-19,16179,63871,1440
2014-04-20,16180,63871,1224
2014-03-31,16160,94037,300
2014-04-01,16161,94037,1440
2014-04-02,16162,94037,1440
2014-04-03,16163,94037,1440
2014-04-04,16164,94037,1416
2014-04-05,16165,94037,863
2014-04-06,16166,94037,1235
2014-04-07,16167,94037,720
2014-04-08,16168,94037,1215
2014-04-09,16169,94037,1440
2014-04-10,16170,94037,763
2014-04-11,16171,94037,909
2014-04-12,16172,94037,1440
2014-04-13,16173,94037,1440
2014-04-14,16174,94037,769
2014-04-15,16175,94037,1430
2014-04-16,16176,94037,1440
2014-04-17,16177,94037,1436
2014-04-18,16178,94037,1440
2014-04-19,16179,94037,1425
2014-04-20,16180,94037,1440
2014-04-21,16181,94037,1436
2014-04-22,16182,94037,1440
2014-04-23,16183,94037,1440
2014-04-24,16184,94037,1440
2014-04-25,16185,94037,1427
2014-04-26,16186,94037,1375
2014-04-27,16187,94037,1440
2014-04-28,16188,94037,1440
2014-04-29,16189,94037,1440
2014-04-30,16190,94037,1140
2014-03-31,16160,53862,420
2014-04-01,16161,53862,1439
2014-04-02,16162,53862,1438
2014-04-03,16163,53862,1440
2014-04-04,16164,53862,1440
2014-04-05,16165,53862,1440
2014-04-06,16166,53862,1440
2014-04-07,16167,53862,1440
2014-04-08,16168,53862,1440
2014-04-09,16169,53862,1440
2014-04-10,16170,53862,1440
2014-04-11,16171,53862,1440
2014-04-12,16172,53862,1440
2014-04-13,16173,53862,1440
2014-04-14,16174,53862,768
2014-04-15,16175,53862,1440
2014-04-16,16176,53862,1440
2014-04-17,16177,53862,1440
2014-04-18,16178,53862,1440
2014-04-19,16179,53862,1440
2014-04-20,16180,53862,1440
2014-04-21,16181,53862,1440
2014-04-22,16182,53862,1440
2014-04-23,16183,53862,1440
2014-04-24,16184,53862,1440
2014-04-25,16185,53862,1440
2014-04-26,16186,53862,1440
2014-04-27,16187,53862,1440
2014-04-28,16188,53862,1440
2014-04-29,16189,53862,1440
2014-04-30,16190,53862,1020
2014-03-31,16160,03032,360
2014-04-01,16161,03032,1435
2014-04-02,16162,03032,1427
2014-04-03,16163,03032,1436
2014-04-04,16164,03032,1440
2014-04-05,16165,03032,1440
2014-04-06,16166,03032,1427
2014-04-07,16167,03032,1440
2014-04-08,16168,03032,1423
2014-04-09,16169,03032,1414
2014-04-10,16170,03032,1439
2014-04-11,16171,03032,1432
2014-04-12,16172,03032,1113
2014-04-13,16173,03032,942
2014-04-14,16174,03032,822
2014-04-15,16175,03032,1399
2014-04-16,16176,03032,1440
2014-04-17,16177,03032,1413
2014-04-18,16178,03032,1440
2014-04-19,16179,03032,1440
2014-04-20,16180,03032,1436
2014-04-21,16181,03032,1428
2014-04-22,16182,03032,1440
2014-04-23,16183,03032,1432
2014-04-24,16184,03032,1237
2014-04-25,16185,03032,1440
2014-04-26,16186,03032,1425
2014-04-27,16187,03032,1440
2014-04-28,16188,03032,1440
2014-04-29,16189,03032,1435
2014-04-30,16190,03032,1068
2014-04-03,16163,53843,7
2014-04-07,16167,53843,1103
2014-04-08,16168,53843,1440
2014-04-09,16169,53843,1440
2014-04-10,16170,53843,841
2014-04-11,16171,53843,1440
2014-04-12,16172,53843,1440
2014-04-13,16173,53843,996
2014-04-14,16174,53843,689
2014-04-15,16175,53843,1440
2014-04-16,16176,53843,839
2014-04-17,16177,53843,270
2014-04-18,16178,53843,1351
2014-04-19,16179,53843,1440
2014-04-20,16180,53843,1440
2014-04-21,16181,53843,1440
2014-04-22,16182,53843,1440
2014-04-23,16183,53843,828
2014-04-24,16184,53843,106
2014-03-31,16160,94993,360
2014-04-01,16161,94993,1440
2014-04-02,16162,94993,1440
2014-04-03,16163,94993,1440
2014-04-04,16164,94993,842
2014-04-05,16165,94993,1440
2014-04-06,16166,94993,1440
2014-04-07,16167,94993,1437
2014-04-08,16168,94993,1430
2014-04-09,16169,94993,1440
2014-04-10,16170,94993,1439
2014-04-11,16171,94993,1285
2014-04-12,16172,94993,1054
2014-04-13,16173,94993,1440
2014-04-14,16174,94993,780
2014-04-15,16175,94993,1440
2014-04-16,16176,94993,1440
2014-04-17,16177,94993,1426
2014-04-18,16178,94993,1440
2014-04-19,16179,94993,1436
2014-04-20,16180,94993,1440
2014-04-21,16181,94993,1436
2014-04-22,16182,94993,1427
2014-04-23,16183,94993,1440
2014-04-24,16184,94993,1424
2014-04-25,16185,94993,1440
2014-04-26,16186,94993,1430
2014-04-27,16187,94993,1440
2014-04-28,16188,94993,1440
2014-04-29,16189,94993,1440
2014-04-30,16190,94993,1080
2014-03-31,16160,53144,240
2014-04-01,16161,53144,828
2014-04-02,16162,53144,1440
2014-04-03,16163,53144,1440
2014-04-04,16164,53144,151
2014-04-05,16165,53144,873
2014-04-06,16166,53144,1440
2014-04-07,16167,53144,1096
2014-04-09,16169,53144,719
