convective_date,convective_day_index,wban_id,good_row_count
2010-05-31,14760,63870,262
2010-06-01,14761,63870,275
2010-06-02,14762,63870,1226
2010-06-03,14763,63870,211
2010-06-04,14764,63870,29
2010-06-06,14766,63870,718
2010-06-07,14767,63870,144
2010-06-08,14768,63870,672
2010-06-10,14770,63870,329
2010-06-11,14771,63870,910
2010-06-12,14772,63870,755
2010-06-13,14773,63870,267
2010-06-14,14774,63870,712
2010-06-15,14775,63870,1432
2010-06-16,14776,63870,506
2010-06-17,14777,63870,63
2010-06-19,14779,63870,129
2010-06-20,14780,63870,720
2010-06-22,14782,63870,13
2010-06-23,14783,63870,481
2010-06-27,14787,63870,63
2010-06-28,14788,63870,157
2010-06-29,14789,63870,77
2010-05-31,14760,54779,420
2010-06-01,14761,54779,1266
2010-06-02,14762,54779,1432
2010-06-03,14763,54779,288
2010-06-04,14764,54779,720
2010-06-05,14765,54779,322
2010-06-06,14766,54779,391
2010-06-07,14767,54779,1320
2010-06-08,14768,54779,1424
2010-06-09,14769,54779,1436
2010-06-10,14770,54779,1285
2010-06-11,14771,54779,1224
2010-06-12,14772,54779,1346
2010-06-13,14773,54779,1440
2010-06-14,14774,54779,1440
2010-06-15,14775,54779,377
2010-06-16,14776,54779,1250
2010-06-17,14777,54779,1426
2010-06-18,14778,54779,1284
2010-06-19,14779,54779,1440
2010-06-20,14780,54779,1440
2010-06-21,14781,54779,1112
2010-06-22,14782,54779,1440
2010-06-23,14783,54779,1367
2010-06-24,14784,54779,1222
2010-06-25,14785,54779,1423
2010-06-26,14786,54779,1071
2010-06-27,14787,54779,1188
2010-06-28,14788,54779,1438
2010-06-29,14789,54779,1220
2010-06-30,14790,54779,1018
2010-05-31,14760,94037,300
2010-06-01,14761,94037,1438
2010-06-02,14762,94037,1440
2010-06-03,14763,94037,448
2010-06-04,14764,94037,720
2010-06-05,14765,94037,448
2010-06-06,14766,94037,272
2010-06-07,14767,94037,1202
2010-06-08,14768,94037,1339
2010-06-09,14769,94037,1440
2010-06-10,14770,94037,1440
2010-06-11,14771,94037,1386
2010-06-12,14772,94037,1440
2010-06-13,14773,94037,1440
2010-06-14,14774,94037,1440
2010-06-15,14775,94037,1320
2010-06-16,14776,94037,1428
2010-06-17,14777,94037,1440
2010-06-18,14778,94037,1440
2010-06-19,14779,94037,1427
2010-06-20,14780,94037,1427
2010-06-21,14781,94037,1440
2010-06-22,14782,94037,1440
2010-06-23,14783,94037,1356
2010-06-24,14784,94037,1437
2010-06-25,14785,94037,1431
2010-06-26,14786,94037,1438
2010-06-27,14787,94037,1440
2010-06-28,14788,94037,1440
2010-06-29,14789,94037,1440
2010-06-30,14790,94037,1140
2010-05-31,14760,53862,420
2010-06-01,14761,53862,1339
2010-06-02,14762,53862,1440
2010-06-03,14763,53862,406
2010-06-04,14764,53862,720
2010-06-05,14765,53862,347
2010-06-06,14766,53862,373
2010-06-07,14767,53862,1217
2010-06-08,14768,53862,1347
2010-06-09,14769,53862,1440
2010-06-10,14770,53862,1435
2010-06-11,14771,53862,1433
2010-06-12,14772,53862,1432
2010-06-13,14773,53862,1440
2010-06-14,14774,53862,1439
2010-06-15,14775,53862,1299
2010-06-16,14776,53862,1383
2010-06-17,14777,53862,1440
2010-06-18,14778,53862,1440
2010-06-19,14779,53862,1323
2010-06-20,14780,53862,1429
2010-06-21,14781,53862,1322
2010-06-22,14782,53862,1440
2010-06-23,14783,53862,1440
2010-06-24,14784,53862,1428
2010-06-25,14785,53862,1440
2010-06-26,14786,53862,1440
2010-06-27,14787,53862,1425
2010-06-28,14788,53862,1440
2010-06-29,14789,53862,1440
2010-06-30,14790,53862,996
2010-06-01,14761,03032,1241
2010-06-02,14762,03032,1323
2010-06-03,14763,03032,527
2010-06-04,14764,03032,720
2010-06-05,14765,03032,196
2010-06-06,14766,03032,523
2010-06-07,14767,03032,1012
2010-06-08,14768,03032,1422
2010-06-09,14769,03032,1372
2010-06-10,14770,03032,1430
2010-06-11,14771,03032,1436
2010-06-12,14772,03032,1431
2010-06-13,14773,03032,1440
2010-06-14,14774,03032,1440
2010-06-15,14775,03032,1298
2010-06-16,14776,03032,1383
2010-06-17,14777,03032,1440
2010-06-18,14778,03032,1440
2010-06-19,14779,03032,1415
2010-06-20,14780,03032,1440
2010-06-21,14781,03032,1322
2010-06-22,14782,03032,1440
2010-06-23,14783,03032,1440
2010-06-24,14784,03032,1428
2010-06-25,14785,03032,1440
2010-06-26,14786,03032,1440
2010-06-27,14787,03032,1425
2010-06-28,14788,03032,1440
2010-06-29,14789,03032,1439
2010-06-30,14790,03032,1057
2010-05-31,14760,53843,351
2010-06-01,14761,53843,1363
2010-06-02,14762,53843,1329
2010-06-03,14763,53843,712
2010-06-04,14764,53843,720
2010-06-05,14765,53843,63
2010-06-06,14766,53843,657
2010-06-07,14767,53843,232
2010-06-08,14768,53843,1183
2010-06-09,14769,53843,1298
2010-06-10,14770,53843,1421
2010-06-11,14771,53843,1436
2010-06-12,14772,53843,1384
2010-06-13,14773,53843,951
2010-06-14,14774,53843,1325
2010-06-15,14775,53843,1212
2010-06-16,14776,53843,1431
2010-06-17,14777,53843,1289
2010-06-18,14778,53843,848
2010-06-19,14779,53843,1382
2010-06-20,14780,53843,1401
2010-06-21,14781,53843,1327
2010-06-22,14782,53843,1440
2010-06-23,14783,53843,1334
2010-06-24,14784,53843,1337
2010-06-25,14785,53843,751
2010-06-26,14786,53843,1258
2010-06-27,14787,53843,1314
2010-06-28,14788,53843,1440
2010-06-29,14789,53843,1390
2010-06-30,14790,53843,1080
2010-05-31,14760,94993,360
2010-06-01,14761,94993,1437
2010-06-02,14762,94993,1440
2010-06-03,14763,94993,432
2010-06-04,14764,94993,720
2010-06-05,14765,94993,450
2010-06-06,14766,94993,270
2010-06-07,14767,94993,1229
2010-06-08,14768,94993,1339
2010-06-09,14769,94993,1440
2010-06-10,14770,94993,1440
2010-06-11,14771,94993,1440
2010-06-12,14772,94993,1440
2010-06-13,14773,94993,1440
2010-06-14,14774,94993,1440
2010-06-15,14775,94993,1320
2010-06-16,14776,94993,1427
2010-06-17,14777,94993,1440
2010-06-18,14778,94993,1440
2010-06-19,14779,94993,1427
2010-06-20,14780,94993,1427
2010-06-21,14781,94993,1440
2010-06-22,14782,94993,1440
2010-06-23,14783,94993,1355
2010-06-24,14784,94993,1440
2010-06-25,14785,94993,1440
2010-06-26,14786,94993,1440
2010-06-27,14787,94993,1440
2010-06-28,14788,94993,1440
2010-06-29,14789,94993,1440
2010-06-30,14790,94993,1080
2010-05-31,14760,53144,240
2010-06-01,14761,53144,1374
2010-06-02,14762,53144,1370
2010-06-03,14763,53144,720
2010-06-04,14764,53144,720
2010-06-05,14765,53144,79
2010-06-06,14766,53144,639
2010-06-07,14767,53144,903
2010-06-08,14768,53144,1392
2010-06-09,14769,53144,1440
2010-06-10,14770,53144,1440
2010-06-11,14771,53144,1440
2010-06-12,14772,53144,1381
2010-06-13,14773,53144,955
2010-06-14,14774,53144,1339
2010-06-15,14775,53144,1213
2010-06-16,14776,53144,1440
2010-06-17,14777,53144,1317
2010-06-18,14778,53144,419
2010-06-19,14779,53144,1216
2010-06-20,14780,53144,1420
2010-06-21,14781,53144,1327
2010-06-22,14782,53144,1440
2010-06-23,14783,53144,1342
2010-06-24,14784,53144,1359
2010-06-25,14785,53144,740
2010-06-26,14786,53144,1265
2010-06-27,14787,53144,1323
2010-06-28,14788,53144,1301
2010-06-29,14789,53144,1025
2010-06-30,14790,53144,1199
2010-05-31,14760,94943,360
2010-06-01,14761,94943,1437
2010-06-02,14762,94943,1380
2010-06-03,14763,94943,435
2010-06-04,14764,94943,719
2010-06-05,14765,94943,460
2010-06-06,14766,94943,259
2010-06-07,14767,94943,437
2010-06-08,14768,94943,810
2010-06-09,14769,94943,1289
2010-06-10,14770,94943,1303
2010-06-11,14771,94943,804
2010-06-12,14772,94943,1440
2010-06-13,14773,94943,841
2010-06-14,14774,94943,1440
2010-06-15,14775,94943,1321
2010-06-16,14776,94943,1428
2010-06-17,14777,94943,1440
2010-06-18,14778,94943,1440
2010-06-19,14779,94943,1427
2010-06-20,14780,94943,1426
2010-06-21,14781,94943,1440
2010-06-22,14782,94943,1439
2010-06-23,14783,94943,1356
2010-06-24,14784,94943,1440
2010-06-25,14785,94943,1316
2010-06-26,14786,94943,1440
2010-06-27,14787,94943,1440
2010-06-28,14788,94943,1439
2010-06-29,14789,94943,1440
2010-06-30,14790,94943,1080
2010-05-31,14760,12832,410
2010-06-01,14761,12832,1252
2010-06-02,14762,12832,1289
2010-06-03,14763,12832,122
2010-06-04,14764,12832,720
2010-06-05,14765,12832,353
2010-06-06,14766,12832,367
2010-06-07,14767,12832,1222
2010-06-08,14768,12832,1348
2010-06-09,14769,12832,1440
2010-06-10,14770,12832,1440
2010-06-11,14771,12832,1440
2010-06-12,14772,12832,1429
2010-06-13,14773,12832,1429
2010-06-14,14774,12832,1440
2010-06-15,14775,12832,1297
2010-06-16,14776,12832,1383
2010-06-17,14777,12832,1440
2010-06-18,14778,12832,1440
2010-06-19,14779,12832,1413
2010-06-20,14780,12832,1440
2010-06-21,14781,12832,1322
2010-06-22,14782,12832,1440
2010-06-23,14783,12832,1440
2010-06-24,14784,12832,1428
2010-06-25,14785,12832,1440
2010-06-26,14786,12832,1440
2010-06-27,14787,12832,1425
2010-06-28,14788,12832,1435
2010-06-29,14789,12832,1438
2010-06-30,14790,12832,997
2010-05-31,14760,03974,357
2010-06-01,14761,03974,1424
2010-06-02,14762,03974,1433
2010-06-03,14763,03974,424
2010-06-04,14764,03974,720
2010-06-05,14765,03974,463
2010-06-06,14766,03974,257
2010-06-07,14767,03974,1234
2010-06-08,14768,03974,1330
2010-06-09,14769,03974,1440
2010-06-10,14770,03974,1440
2010-06-11,14771,03974,1438
2010-06-12,14772,03974,1439
2010-06-13,14773,03974,1436
2010-06-14,14774,03974,1419
2010-06-15,14775,03974,1321
2010-06-16,14776,03974,1427
2010-06-17,14777,03974,1440
2010-06-18,14778,03974,1417
2010-06-19,14779,03974,1414
2010-06-20,14780,03974,1426
2010-06-21,14781,03974,1440
2010-06-22,14782,03974,1440
2010-06-23,14783,03974,1357
2010-06-24,14784,03974,1380
2010-06-25,14785,03974,1440
2010-06-26,14786,03974,1440
2010-06-27,14787,03974,1440
2010-06-28,14788,03974,1439
2010-06-29,14789,03974,1433
2010-06-30,14790,03974,923
2010-05-31,14760,94299,142
2010-06-01,14761,94299,1353
2010-06-02,14762,94299,1439
2010-06-03,14763,94299,334
2010-06-04,14764,94299,720
2010-06-05,14765,94299,502
2010-06-06,14766,94299,207
2010-06-08,14768,94299,577
2010-06-09,14769,94299,1440
2010-06-10,14770,94299,1413
2010-06-11,14771,94299,1423
2010-06-12,14772,94299,1439
2010-06-13,14773,94299,1428
2010-06-14,14774,94299,1439
2010-06-15,14775,94299,1434
2010-06-16,14776,94299,1426
2010-06-17,14777,94299,1440
2010-06-18,14778,94299,1440
2010-06-19,14779,94299,1428
2010-06-20,14780,94299,1440
2010-06-21,14781,94299,1322
2010-06-22,14782,94299,1436
2010-06-23,14783,94299,1198
2010-06-24,14784,94299,972
2010-06-25,14785,94299,1369
2010-06-26,14786,94299,1394
2010-06-27,14787,94299,1440
2010-06-28,14788,94299,1437
2010-06-29,14789,94299,1213
2010-06-30,14790,94299,1197
2010-05-31,14760,14737,420
2010-06-01,14761,14737,1428
2010-06-02,14762,14737,1440
2010-06-03,14763,14737,283
2010-06-04,14764,14737,720
2010-06-05,14765,14737,547
2010-06-06,14766,14737,172
2010-06-07,14767,14737,1327
2010-06-08,14768,14737,1440
2010-06-09,14769,14737,1440
2010-06-10,14770,14737,1440
2010-06-11,14771,14737,1440
2010-06-12,14772,14737,1421
2010-06-13,14773,14737,1440
2010-06-14,14774,14737,1440
2010-06-15,14775,14737,662
2010-06-16,14776,14737,1440
2010-06-17,14777,14737,1426
2010-06-18,14778,14737,1440
2010-06-19,14779,14737,1428
2010-06-20,14780,14737,1440
2010-06-21,14781,14737,1440
2010-06-22,14782,14737,1440
2010-06-23,14783,14737,1439
2010-06-24,14784,14737,1427
2010-06-25,14785,14737,1421
2010-06-26,14786,14737,1419
2010-06-27,14787,14737,1439
2010-06-28,14788,14737,1440
2010-06-29,14789,14737,1422
2010-06-30,14790,14737,1020
2010-06-16,14776,03068,1063
2010-06-17,14777,03068,1297
2010-06-18,14778,03068,1421
2010-06-19,14779,03068,1353
2010-06-20,14780,03068,1432
2010-06-21,14781,03068,1327
2010-06-22,14782,03068,1440
2010-06-23,14783,03068,1341
2010-06-24,14784,03068,1360
2010-06-25,14785,03068,1253
2010-06-26,14786,03068,1265
2010-06-27,14787,03068,1323
2010-06-28,14788,03068,1440
2010-06-29,14789,03068,1384
2010-06-30,14790,03068,1140
2010-05-31,14760,13962,347
2010-06-01,14761,13962,1271
