convective_date,convective_day_index,wban_id,good_row_count
2004-09-01,12662,14737,1348
2004-09-02,12663,14737,1307
2004-09-03,12664,14737,1440
2004-09-04,12665,14737,1235
2004-09-05,12666,14737,1440
2004-09-06,12667,14737,1426
2004-09-07,12668,14737,978
2004-09-08,12669,14737,1296
2004-09-09,12670,14737,1440
2004-09-10,12671,14737,1440
2004-09-11,12672,14737,1233
2004-09-12,12673,14737,1298
2004-09-13,12674,14737,210
2004-09-14,12675,14737,1440
2004-09-15,12676,14737,1440
2004-09-16,12677,14737,1335
2004-09-17,12678,14737,1440
2004-09-18,12679,14737,1351
2004-09-19,12680,14737,1440
2004-09-20,12681,14737,1326
2004-09-21,12682,14737,1296
2004-09-22,12683,14737,1440
2004-09-23,12684,14737,1301
2004-09-24,12685,14737,1440
2004-09-25,12686,14737,1440
2004-09-26,12687,14737,989
2004-09-27,12688,14737,1169
2004-09-28,12689,14737,1339
2004-09-29,12690,14737,1440
2004-09-30,12691,14737,879
2004-08-31,12661,13962,90
2004-09-01,12662,13962,1440
2004-09-02,12663,13962,1440
2004-09-03,12664,13962,1440
2004-09-04,12665,13962,1439
2004-09-05,12666,13962,1341
2004-09-06,12667,13962,1404
2004-09-07,12668,13962,1439
2004-09-08,12669,13962,1374
2004-09-09,12670,13962,1329
2004-09-10,12671,13962,1439
2004-09-11,12672,13962,1440
2004-09-12,12673,13962,1439
2004-09-13,12674,13962,1439
2004-09-14,12675,13962,1437
2004-09-15,12676,13962,1439
2004-09-16,12677,13962,1439
2004-09-17,12678,13962,1366
2004-09-18,12679,13962,1440
2004-09-19,12680,13962,1346
2004-09-20,12681,13962,1314
2004-09-21,12682,13962,1440
2004-09-22,12683,13962,1440
2004-09-23,12684,13962,1440
2004-09-24,12685,13962,1404
2004-09-25,12686,13962,1437
2004-09-26,12687,13962,1326
2004-09-27,12688,13962,1440
2004-09-28,12689,13962,1440
2004-09-29,12690,13962,1304
2004-09-30,12691,13962,1080
2004-08-31,12661,23050,90
2004-09-01,12662,23050,1363
2004-09-02,12663,23050,1440
2004-09-03,12664,23050,1440
2004-09-04,12665,23050,1440
2004-09-05,12666,23050,1440
2004-09-06,12667,23050,1139
2004-09-07,12668,23050,1440
2004-09-08,12669,23050,1440
2004-09-09,12670,23050,1440
2004-09-10,12671,23050,1440
2004-09-11,12672,23050,842
2004-09-12,12673,23050,1440
2004-09-13,12674,23050,1440
2004-09-14,12675,23050,1439
2004-09-15,12676,23050,1330
2004-09-16,12677,23050,1440
2004-09-17,12678,23050,1335
2004-09-18,12679,23050,1440
2004-09-19,12680,23050,1440
2004-09-20,12681,23050,1440
2004-09-21,12682,23050,1440
2004-09-22,12683,23050,1440
2004-09-23,12684,23050,1439
2004-09-24,12685,23050,1440
2004-09-25,12686,23050,1440
2004-09-26,12687,23050,1440
2004-09-27,12688,23050,1310
2004-09-28,12689,23050,1440
2004-09-29,12690,23050,1440
2004-09-30,12691,23050,1110
2004-08-31,12661,14929,90
2004-09-01,12662,14929,1295
2004-09-02,12663,14929,1440
2004-09-03,12664,14929,1296
2004-09-04,12665,14929,1356
2004-09-05,12666,14929,1440
2004-09-06,12667,14929,1234
2004-09-07,12668,14929,1440
2004-09-08,12669,14929,1345
2004-09-09,12670,14929,1335
2004-09-10,12671,14929,1440
2004-09-11,12672,14929,1322
2004-09-12,12673,14929,1382
2004-09-13,12674,14929,1440
2004-09-14,12675,14929,1440
2004-09-15,12676,14929,1440
2004-09-16,12677,14929,1326
2004-09-17,12678,14929,1310
2004-09-18,12679,14929,1440
2004-09-19,12680,14929,1439
